platform,flush_type,operation,access_pattern,io_size(B),blcok_size(B),data_space_size(MB),count,throughput(op/s),bandwidth(MB),avg_latency(ns)
DRAM_cached,nt,read,random,256,1048576,14336,14336,9682973,2364,103.274
DRAM_cached,nt,read,random,256,1052672,14336,14280,9755130,2381,102.51
DRAM_cached,nt,read,random,512,131072,14336,114688,8559932,4179,116.823
DRAM_cached,nt,read,random,512,135168,14336,111212,8519818,4160,117.373
DRAM_cached,nt,read,random,512,1048576,14336,14336,8397857,4100,119.078
DRAM_cached,nt,read,random,512,1052672,14336,14280,8223955,4015,121.596
DRAM_cached,nt,read,random,1024,131072,14336,114688,5637401,5505,177.387
DRAM_cached,nt,read,random,1024,135168,14336,111212,5540578,5410,180.487
DRAM_cached,nt,read,random,1024,1048576,14336,14336,5573187,5442,179.431
DRAM_cached,nt,read,random,1024,1052672,14336,14280,5518239,5388,181.217
DRAM_cached,nt,read,random,2048,131072,14336,114688,3263536,6374,306.416
DRAM_cached,nt,read,random,2048,135168,14336,111212,3249758,6347,307.715
DRAM_cached,nt,read,random,2048,1048576,14336,14336,3284489,6415,304.461
DRAM_cached,nt,read,random,2048,1052672,14336,14280,3258975,6365,306.845
DRAM_cached,nt,read,random,4096,131072,14336,114688,2248129,8781,444.814
DRAM_cached,nt,read,random,4096,135168,14336,111212,2204572,8611,453.603
DRAM_cached,nt,read,random,4096,1048576,14336,14336,2236363,8735,447.155
DRAM_cached,nt,read,random,4096,1052672,14336,14280,2188180,8547,457.001
DRAM_cached,nt,read,random,8192,131072,14336,114688,1179659,9216,847.702
DRAM_cached,nt,read,random,8192,135168,14336,111212,1166739,9115,857.089
DRAM_cached,nt,read,random,8192,1048576,14336,14336,1176585,9192,849.917
DRAM_cached,nt,read,random,8192,1052672,14336,14280,1164753,9099,858.551
DRAM_cached,nt,read,random,16384,131072,14336,114688,419311,6551,2384.86
DRAM_cached,nt,read,random,16384,135168,14336,111212,418078,6532,2391.9
DRAM_cached,nt,read,random,16384,1048576,14336,14336,417373,6521,2395.94
DRAM_cached,nt,read,random,16384,1052672,14336,14280,415433,6491,2407.12
DRAM_cached,nt,read,random,32768,131072,14336,114688,198624,6207,5034.62
DRAM_cached,nt,read,random,32768,135168,14336,111212,198037,6188,5049.55
DRAM_cached,nt,read,random,32768,1048576,14336,14336,198546,6204,5036.61
DRAM_cached,nt,read,random,32768,1052672,14336,14280,197218,6163,5070.51
DRAM_cached,nt,read,random,65536,131072,14336,114688,99421,6213,10058.2
DRAM_cached,nt,read,random,65536,135168,14336,111212,99338,6208,10066.5
DRAM_cached,nt,read,random,65536,1048576,14336,14336,99445,6215,10055.8
DRAM_cached,nt,read,random,65536,1052672,14336,14280,99273,6204,10073.2
DRAM_cached,t,read,random,8,131072,14336,114688,10814632,82,92.4673
DRAM_cached,t,read,random,8,135168,14336,111212,10917942,83,91.5923
DRAM_cached,t,read,random,8,1048576,14336,14336,10681998,81,93.6154
DRAM_cached,t,read,random,8,1052672,14336,14280,10726068,81,93.2308
DRAM_cached,t,read,random,16,131072,14336,114688,10746730,163,93.0516
DRAM_cached,t,read,random,16,135168,14336,111212,10861622,165,92.0673
DRAM_cached,t,read,random,16,1048576,14336,14336,10521896,160,95.0399
DRAM_cached,t,read,random,16,1052672,14336,14280,10709713,163,93.3732
DRAM_cached,t,read,random,32,131072,14336,114688,10587611,323,94.45
DRAM_cached,t,read,random,32,135168,14336,111212,10740704,327,93.1038
DRAM_cached,t,read,random,32,1048576,14336,14336,10390069,317,96.2457
DRAM_cached,t,read,random,32,1052672,14336,14280,10531473,321,94.9535
DRAM_cached,t,read,random,64,131072,14336,114688,10116873,617,98.8448
DRAM_cached,t,read,random,64,135168,14336,111212,10198889,622,98.0499
DRAM_cached,t,read,random,64,1048576,14336,14336,9917298,605,100.834
DRAM_cached,t,read,random,64,1052672,14336,14280,9933814,606,100.666
DRAM_cached,t,read,random,128,131072,14336,114688,9783998,1194,102.208
DRAM_cached,t,read,random,128,135168,14336,111212,9824813,1199,101.783
DRAM_cached,t,read,random,128,1048576,14336,14336,9481293,1157,105.471
DRAM_cached,t,read,random,128,1052672,14336,14280,9603460,1172,104.129
DRAM_cached,t,read,random,256,131072,14336,114688,9976603,2435,100.235
DRAM_cached,t,read,random,256,135168,14336,111212,10053988,2454,99.463
DRAM_cached,t,read,random,256,1048576,14336,14336,9642028,2354,103.713
DRAM_cached,t,read,random,256,1052672,14336,14280,9892637,2415,101.085
DRAM_cached,t,read,random,512,131072,14336,114688,8577126,4188,116.589
DRAM_cached,t,read,random,512,135168,14336,111212,8522731,4161,117.333
DRAM_cached,t,read,random,512,1048576,14336,14336,8424145,4113,118.706
DRAM_cached,t,read,random,512,1052672,14336,14280,8233287,4020,121.458
DRAM_cached,t,read,random,1024,131072,14336,114688,5593645,5462,178.774
DRAM_cached,t,read,random,1024,135168,14336,111212,5533092,5403,180.731
DRAM_cached,t,read,random,1024,1048576,14336,14336,5591970,5460,178.828
DRAM_cached,t,read,random,1024,1052672,14336,14280,5483426,5354,182.368
DRAM_cached,t,read,random,2048,131072,14336,114688,3260372,6367,306.713
DRAM_cached,t,read,random,2048,135168,14336,111212,3238509,6325,308.784
DRAM_cached,t,read,random,2048,1048576,14336,14336,3264596,6376,306.317
DRAM_cached,t,read,random,2048,1052672,14336,14280,3266354,6379,306.152
DRAM_cached,t,read,random,4096,131072,14336,114688,2245633,8772,445.309
DRAM_cached,t,read,random,4096,135168,14336,111212,2208194,8625,452.859
DRAM_cached,t,read,random,4096,1048576,14336,14336,2220165,8672,450.417
DRAM_cached,t,read,random,4096,1052672,14336,14280,2207573,8623,452.986
DRAM_cached,t,read,random,8192,131072,14336,114688,1180830,9225,846.862
DRAM_cached,t,read,random,8192,135168,14336,111212,1167914,9124,856.227
DRAM_cached,t,read,random,8192,1048576,14336,14336,1174161,9173,851.672
DRAM_cached,t,read,random,8192,1052672,14336,14280,1163985,9093,859.118
DRAM_cached,t,read,random,16384,131072,14336,114688,419469,6554,2383.96
DRAM_cached,t,read,random,16384,135168,14336,111212,417245,6519,2396.67
DRAM_cached,t,read,random,16384,1048576,14336,14336,417813,6528,2393.41
DRAM_cached,t,read,random,16384,1052672,14336,14280,414751,6480,2411.08
DRAM_cached,t,read,random,32768,131072,14336,114688,198621,6206,5034.7
DRAM_cached,t,read,random,32768,135168,14336,111212,197537,6173,5062.34
DRAM_cached,t,read,random,32768,1048576,14336,14336,198429,6200,5039.57
DRAM_cached,t,read,random,32768,1052672,14336,14280,197591,6174,5060.94
DRAM_cached,t,read,random,65536,131072,14336,114688,99596,6224,10040.5
DRAM_cached,t,read,random,65536,135168,14336,111212,99514,6219,10048.8
DRAM_cached,t,read,random,65536,1048576,14336,14336,99720,6232,10028
DRAM_cached,t,read,random,65536,1052672,14336,14280,99528,6220,10047.4
