platform,operation,access_pattern,io_size(B),blcok_size(B),data_space_size(MB),count,throughput(op/s),bandwidth(MB),avg_latency(ns)
DRAM_cached,read,random,512,135168,8192,63550,9119550,4452,109.655
DRAM_cached,read,random,1024,131072,8192,65536,5532206,5402,180.76
DRAM_cached,read,random,1024,135168,8192,63550,5496437,5367,181.936
DRAM_cached,read,random,2048,131072,8192,65536,3223868,6296,310.186
DRAM_cached,read,random,2048,135168,8192,63550,3236089,6320,309.015
DRAM_cached,read,random,4096,131072,8192,65536,2002064,7820,499.484
DRAM_cached,read,random,4096,135168,8192,63550,1992915,7784,501.777
DRAM_cached,read,random,8192,131072,8192,65536,1078871,8428,926.895
DRAM_cached,read,random,8192,135168,8192,63550,1077456,8417,928.111
DRAM_cached,read,random,16384,131072,8192,65536,560189,8752,1785.11
DRAM_cached,read,random,16384,135168,8192,63550,558643,8728,1790.05
DRAM_cached,read,random,32768,131072,8192,65536,192290,6009,5200.46
DRAM_cached,read,random,32768,135168,8192,63550,191345,5979,5226.14
DRAM_cached,read,random,65536,131072,8192,65536,96826,6051,10327.7
DRAM_cached,read,random,65536,135168,8192,63550,96472,6029,10365.7
